NAME                                              STATUS    ISIN CODE           CODE      TRADING COUNTER NAME
21VIANETGPUS$200M7%N200817                                  XS1640517907        7I4B      21Vianet n7%200817S
BANKOFCHINACNY500M4.4%N300630                               TW000F030077        32FB      BankOfChinan4.4%300630S
BANKOFINDIAUS$750M3.125%200506                              XS1227592703        29DB      BankOfInd n3.125%200506S
BANKOFPHILIS US$600M4.25%N2309                              XS1841618421        FNDB      BankOfPhIs n4.25%230904S
BANKOFPHILISUS$300M2.5%N240910                              XS2050923825        GQDB      BankOfPhIs n2.5%240910S
BANKTOKYO US$1.2B1.45%N170908A                              US064255BA96        15GB      BkTokyo n1.45%170908A
BANKTOKYO US$1.2B1.45%N170908R                              USJ0423YBT04        15FB      BkTokyo n1.45%170908R
BANKTOKYO US$1.5B2.3%N200305A                               US064255BP65        25AB      BkTokyo n2.3%200305A
BANKTOKYO US$1.5B2.3%N200305R                               USJ0423YCB86        24ZB      BkTokyo n2.3%200305R
BANKTOKYO US$1B1.7%N180305A                                 US064255BL51        25CB      BkTokyo n1.7%180305A
BANKTOKYO US$1B1.7%N180305R                                 USJ0423YBY98        25BB      BkTokyo n1.7%180305R
BANKTOKYO US$1B2.3%N190310A                                 US064255AU69        3B5B      BkTokyo n2.3%190310A
BANKTOKYO US$1B2.3%N190310R                                 USJ0423YBN34        3B4B      BkTokyo n2.3%190310R
BANKTOKYO US$1B2.7%N180909A                                 US064255AQ57        2ZNB      BkTokyo n2.7%180909A
BANKTOKYO US$1B2.7%N180909R                                 USJ0423YBJ22        2ZMB      BkTokyo n2.7%180909R
BANKTOKYO US$1B2.75%N200914A                                US06538PAC68        34YB      BkTokyo n2.75%200914A
BANKTOKYO US$1B2.75%N200914R                                USJ04306AC05        34ZB      BkTokyo n2.75%200914R
BANKTOKYO US$1B3.25%N240908A                                US064255BJ06        15KB      BkTokyo n3.25%240908A
BANKTOKYO US$1B3.25%N240908R                                USJ0423YBX16        15JB      BkTokyo n3.25%240908R
BANKTOKYO US$300MF170908A                                   US064255AY81        15CB      BkTokyo f170908A
BANKTOKYO US$300MF170908R                                   USJ0423YBS21        15BB      BkTokyo f170908R
BANKTOKYO US$400M4.7%N440310A                               US064255AX09        3B9B      BkTokyo n4.7%440310A
BANKTOKYO US$400M4.7%N440310R                               USJ0423YBR48        3B8B      BkTokyo n4.7%440310R
BANKTOKYO US$500M F180914A                                  US06538PAB85        34WB      BkTokyo f180914A
BANKTOKYO US$500M F180914R                                  USJ04306AB22        34XB      BkTokyo f180914R
BANKTOKYO US$500M2.15%N180914A                              US06538PAA03        35AB      BkTokyo n2.15%180914A
BANKTOKYO US$500M2.15%N180914R                              USJ04306AA49        35BB      BkTokyo n2.15%180914R
BANKTOKYO US$500M3.2%N230226A                               US064255AM44        2QLB      BkTokyo n3.2%230226A
BANKTOKYO US$500M3.2%N230226R                               USJ0423YBF00        2QMB      BkTokyo n3.2%230226R
BANKTOKYO US$500M4.1%N230909A                               US064255AR31        2ZJB      BkTokyo n4.1%230909A
BANKTOKYO US$500M4.1%N230909R                               USJ0423YBK94        2ZIB      BkTokyo n4.1%230909R
BANKTOKYO US$500MF180305A                                   US064255BN18        25EB      BkTokyo f180305A
BANKTOKYO US$500MF180305R                                   USJ0423YCA04        25DB      BkTokyo f180305R
BANKTOKYO US$750M1.65%N180226A                              US064255AL60        2QJB      BkTokyo n1.65%180226A
BANKTOKYO US$750M1.65%N180226R                              USJ0423YBE35        2QKB      BkTokyo n1.65%180226R
BANKTOKYO US$750M2.85%N210908A                              US064255BG66        15IB      BkTokyo n2.85%210908A
BANKTOKYO US$750M2.85%N210908R                              USJ0423YBW33        15HB      BkTokyo n2.85%210908R
BANKTOKYO US$750M3.75%N240310A                              US064255AW26        3B7B      BkTokyo n3.75%240310A
BANKTOKYO US$750M3.75%N240310R                              USJ0423YBQ64        3B6B      BkTokyo n3.75%240310R
BANKTOKYOUS$1.25B2.35%N190908A                              US064255BC52        15EB      BkTokyo n2.35%190908A
BANKTOKYOUS$1.25B2.35%N190908R                              USJ0423YBU76        15DB      BkTokyo n2.35%190908R
BANYAN S$100M4.85%N200605                                   SG6XC5000008        30PB      Banyan n4.85%200605S
BANYAN TREE HOLDINGS LIMITED                                SG1T49930665        B58       Banyan Tree
BAOXIN US$300M7.9%N200209                                   XS1833291203        PETB      Baoxin n7.9%200209S
BAOXIN USD400M5.625%PERSEC                                  XS1706083489        83FB      Baoxin 5.625%PerSec S
BARCLAYS BANK US$10MF170831                                 XS0785275107        2YGB      BarclaysBank f170831S
BARMINCO US$350M6.625%N220515                               USQ13095AB23        6U0B      Barminco n6.625%220515S
BAYAREAGHK$1.028B7.25%CB180204                              XS0880097620        2PAB      BayAreaGcb7.25%180204S
BAYFRONTINF US$19MF380111                                   XS1830130925        LIOB      BayfrontInfF380111S
BAYFRONTINF US$320.6MF380111                                XS1830126576        W0DB      BayfrontInf F380111S
BAYFRONTINF US$72.6MF380111                                 XS1830129919        JCZB      BayfrontInfrF380111S
BBR HOLDINGS (S) LTD                                        SG1Z42953799        KJ5       BBR
BDOUNIBANKUS$300M2.625%N211024                              XS1503116599        60WB      BDOUniBk n2.625%211024S
BDOUNIBANKUS$700M2.95%N230306                               XS1673684509        7U7B      BDOUniBk n2.95%230306S
BENG KUANG MARINE LIMITED                                   SG1BH2000007        BEZ       Beng Kuang^
BEST WORLD INTERNATIONAL LTD                                SG1DG3000004        CGN       Best World
BH GLOBAL CORPORATION LIMITED                               SG1CF8000003        BQN       BH Global^
BHARAT PET US$500M4%250508                                  XS1227064430        29CB      BharatPet n4%250508S
BHARAT PET US$500M4.375%220124                              XS1939427842        QSIB      BharatPn4.375%220124S
BHARAT PET US$500M4.625%221025                              XS0848436365        2KPB      BharatPn4.625%221025S
BHARTIAIR EUR750M3.375%210520A                              XS1028954797        3P1B      BhartiAn3.375%210520A
BHARTIAIR EUR750M3.375%210520R                              XS1028954953        3P0B      BhartiAn3.375%210520R
BHARTIAIR US$1B5.35%240520A                                 US08861JAB52        3P3B      BhartiAn5.35%240520A
BHARTIAIR US$1B5.35%240520R                                 USN1384FAB15        3P2B      BhartiAn5.35%240520R
BHARTIAIRLTDUS$1B1.5%CB250217A                              US08860HAB06        VD4B      BhartiAir cb1.5%250217A
BHARTIAIRLTDUS$1B1.5%CB250217R                              USY0889VAB63        9U2B      BhartiAir cb1.5%250217R
BHARTIAIRLTDUS$1B4.375%250610A                              US08860HAA23        31AB      BhartiAir4.375%250610A
BHARTIAIRLTDUS$1B4.375%250610R                              USY0889VAA80        31BB      BhartiAir4.375%250610R
BHARTIAIRTELUS$1B5.125%230311A                              US08861JAA79        2QSB      BhartiAn5.125%230311A
BHARTIAIRTELUS$1B5.125%230311R                              USN1384FAA32        2QTB      BhartiAn5.125%230311R
BHG RETAIL REIT                                             SG1CD7000009        BMGU      BHG Retail Reit
BHIRA INV US$450MN710427                                    XS0620623636        4UDB      Bhira Inv n710427S
BILT PAPER US$200M PERCAPSEC A                              US058590AA85        4ZHB      BiltPaperPerCapSec A
BILT PAPER US$200M PERCAPSEC R                              USN08328AA95        4ZGB      BiltPaperPerCapSec R
BIOCEANICO US$732.226MZ340605A                              US09076AAA51        PSEB      Bioceanico z340605A
BIOCEANICO US$732.226MZ340605R                              USG11176AA54        YG1B      Bioceanico z340605R
BIOLIDICS LIMITED                                           SGXE89830751        8YY       Biolidics
BIZLINKHOLDING US$100M Z241213                              XS2078324485        UQIB      BizlinkHldg z241213S
BK BARODA US$300M3.875%N240404                              XS1972573007        VWWB      BkBaroda n3.875%240404S
BK BARODA US$500M3.5%N220404                                XS1972572025        Q76B      BkBaroda n3.5%220404S
BKBARODA US$750M4.875%N190723A                              US060622AA59        2V6B      BkBaron4.875%190723A
BKBARODA US$750M4.875%N190723R                              USY04342AA28        2V7B      BkBaron4.875%190723R
BKNOVASCOTIA S73US$100MZ591230                              XS2093242027        SBAB      BkNovaScotiaS73 z591230S
BKNOVASCOTIA S74US$100MZ591230                              XS2096442749        RJKB      BkNovaScotiaS74 z591230S
BKNOVASCOTIA S82US$50MZ600226                               XS2122899904        KYJB      BkNovaScotiaS82 z600226S
BKNOVASCOTIA S83US$40MZ600226                               XS2123042397        97UB      BkNovaScotiaS83 z600226S
BKOFINDIA US$500M6.25%N210216                               XS0592238876        4QTB      BkInd n6.25%210216S
BKOFINDIAUS$500M3.625%N180921A                              US062780AA95        2RLB      BkInd n3.625%180921A
BKOFINDIAUS$500M3.625%N180921R                              USY06865AA04        2RMB      BkInd n3.625%180921R
BKOFNOVAS CNY170M4.61%N230920                               XS1881875105        IPRB      BkofNova n4.61%230920S
BKOFNOVAS CNY175M4.45%N210920                               XS1882679803        ZWCB      BkofNova n4.45%210920S
BKOFNOVAS CNY200M4.71%N230919                               XS1881018011        JYUB      BkofNova n4.71%230919S
BKOFNOVAS CNY225M4.56%N230912                               XS1878459806        MJVB      BkofNova n4.56%230912S
BKOFNOVAS CNY300M4.17%N220817                               XS1866908426        XJVB      BkofNova n4.17%220817S
BKOFNOVAS CNY500M4.352%N230810                              XS1864504771        56RB      BkofNova n4.352%230810S
BKOFNOVASCO CAD50M3.28%N350117                              XS2103214974        EGHB      BkofNovaScon3.28%350117S
BKOFNOVASCO US$10M F210803                                  XS1457592936        4M4B      BkOfNovaSc f210803S
BKOFNOVASCO US$30M3.73%N310127                              XS1347187905        39OB      BkofNovaScon3.73%310127S
BKOFNOVASCO US$32M2.2%N300312                               XS2134018667        TIJB      BkofNovaScon2.2%300312S
BKOFNOVASCO US$60M4.4%N290919                               XS2052335044        PIDB      BkofNovaScon4.4%290919S
BKOFNOVASCOCNY125M3.95%N191112                              XS1515104187        61JB      BkOfNovaSc n3.95%191112S
BKOFNOVASCOCNY130M4.6%N210314                               XS1791579854        8MBB      BkOfNovaSc n4.6%210314S
BKOFNOVASCOCNY245M4.05%N210729                              XS1458506067        4M3B      BkOfNovaSc n4.05%210729S
BKOFNOVASCOTIA US$100M Z461007                              XS1500574261        4X0B      BkOfNovaScotia z461007S
